--------- beginning of /dev/log/system
I/Genyd   (   56): Genyd running
D/local_opengl(  109): Starting local_opengl
I/Vold    (  106): Vold 2.1 (the revenge) firing up
D/Vold    (  106): Volume usb state changing -1 (Initializing) -> 0 (No-Media)
D/Genyd   (   56): Received Get Capabilities
D/        (   56): Socket deconnection
D/Genyd   (   56): Received Get GenymotionVersion
D/Genymotion(   56): Received Get GenymotionVersion
I/genymotion_audio(  119): Starting pcm server
I/genymotion_audio(  119): out sampling rate 44100
D/Genyd   (   56): Received Set Clipboard
D/Genymotion(   56): Received Set Clipboard
D/Genyd   (   56): Received Set Clipboard
D/Genymotion(   56): Received Set Clipboard
E/libsuspend(  288): Error opening /sys/power/wakeup_count: Permission denied
E/libsuspend(  288): failed to initialize autosuspend
I/SystemServer(  288): Alarm Manager
D/dalvikvm(  288): GC_CONCURRENT freed 398K, 8% free 10554K/11463K, paused 5ms+1ms, total 22ms
I/SystemServer(  288): Init Watchdog
I/SystemServer(  288): Window Manager
I/InputManager(  288): Initializing input manager
W/StatusBarManager(  288): warning: no STATUS_BAR_SERVICE
D/PermissionCache(  116): checking android.permission.ACCESS_SURFACE_FLINGER for uid=1000 => granted (268 us)
I/InputManager(  288): Starting input manager
I/WindowManager(  288): Enabled StrictMode logging for WMThread's Looper
I/SystemServer(  288): Bluetooth Service
I/WindowManager(  288): Enabled StrictMode for PolicyThread's Looper
E/WVMExtractor(  119): Failed to open libwvm.so
W/bluedroid(  288): open(/sys/class/rfkill/rfkill0/type) failed: No such file or directory (2)
I/BluetoothProfileState(  288): Message:Entering Stable State
E/WVMExtractor(  119): Failed to open libwvm.so
I/BluetoothProfileState(  288): Message:Entering Stable State
I/BluetoothProfileState(  288): Message:Entering Stable State
D/BluetoothAdapterStateMachine(  288): PowerOff process message: 5
W/bluedroid(  288): open(/sys/class/rfkill/rfkill0/type) failed: No such file or directory (2)
I/SystemServer(  288): Input Method Service
W/InputMethodManagerService(  288): Couldn't create dir.: /data/system/inputmethod
